name,number,type,address,city,state,zip,lat,lng
HATT,394,STATION,1744 EVELYN GANDY PARKWAY,HATTIESBURG,MS,39401,31.3694392,-89.3134879
GFPT,395,STATION,10268 CORPORATE DRIVE,GULFPORT,MS,39503,30.43632059,-89.04217187
MCCB,396,STATION,1335 PARKLANE ROAD,MCCOMB,MS,39648,31.22588274,-90.47604247
STRK,397,STATION,4925 SOUTH FRONTAGE ROAD,COLUMBUS,MS,39701,33.4787768,-88.5729137
SOCA,398,STATION,635 OCOEE BUSINESS PARKWAY,OCOEE,FL,34761,28.5671747,-81.5512177
NMEM,399,SUBSTATION,3456 MEYERS ROAD,MEMPHIS,TN,38108,35.17780255,-89.94495054
ELOU,400,STATION,12900 PLANTSIDE DR,LOUISVILLE,KY,40299,38.2088165,-85.5197163
SHPD,401,SUBSTATION,270 OMEGA PARKWAY,SHEPHERDSVILLE,KY,40165,37.978102,-85.683543
LOUI,402,STATION,5153 MARITIME ROAD,JEFFERSONVILLE,IN,47130,38.32718217,-85.67760633
LEXX,404,ANNEX,2061 BUCK LANE,LEXINGTON,KY,40511,38.0854506,-84.5387258
LEXN,405,STATION,2024 BUCK LANE,LEXINGTON,KY,40511,38.08273155,-84.53672537
NOKY,406,HUB,11000 TOEBBEN DRIVE,INDEPENDENCE,KY,41051,38.9414555,-84.6164737
LOND,407,STATION,600 INDUSTRIAL BLVD,LONDON,KY,40741,37.1425713,-84.1854643
LONX,408,ANNEX,60 SPRINGLAKE BLVD,LONDON,KY,40744,37.0825516,-84.065217
NOKL,410,HUB LOCAL,11000 TOEBBEN DRIVE,INDEPENDENCE,KY,41051,38.9414555,-84.6164737
ASHL,411,STATION,301 COMMERCE DRIVE,SOUTH POINT,OH,45680,38.4297568,-82.5880048
CHAV,417,STATION,918 COAL FIELDS INDSTRL DR,CHAVIES,KY,41727,37.3478702,-83.3562912
PADU,420,STATION,2500 EICH ROAD,PADUCAH,KY,42003,37.0277287,-88.5811405
BWGR,421,STATION,155 FLEX PARK DRIVE,BOWLING GREEN,KY,42101,36.9261303,-86.4994786
WCOL,428,STATION,8285 INDUSTRIAL PARKWAY,PLAIN CITY,OH,43064,40.1316508,-83.2091036
ECOL,429,STATION,4600 POTH ROAD,COLUMBUS,OH,43213,39.9834191,-82.8784056
COLL,430,HUB LOCAL,6120 SOUTH MEADOWS DRIVE,GROVE CITY,OH,43123,39.8373934,-83.08450741
COLO,432,HUB,6120 SOUTH MEADOWS DRIVE,GROVE CITY,OH,43123,39.8373934,-83.08450741
GPOX,433,STATION,6840 PONTIUS ROAD,GROVEPORT,OH,43125,39.83061925,-82.89499003
TOLL,435,HUB LOCAL,100 J Street,PERRYSBURG,OH,43551,41.562642,-83.623669
TOLE,436,HUB,100 J Street,PERRYSBURG,OH,43551,41.562642,-83.623669
ZANE,437,STATION,8705 COMMERCE DRIVE,CAMBRIDGE,OH,43725,39.9808489,-81.5775609
ETRS,438,STATION,9677 TOLLGATE ROAD SW,ETNA,OH,43062,39.95228074,-82.70381902
ETNC,439,STATION,9677 TOLLGATE ROAD SW,ETNA,OH,43062,39.95228074,-82.70381902
ECLE,440,STATION,2050 E. AURORA ROAD,TWINSBURG,OH,44087,41.30848705,-81.46534006
